"id_identificador";"latitud";"longitud";"descripcion";"direccion";"fechaAlta";"Zona";"Barrio";"codigo_unico";"Potencia";"Marca";"Telegestión";"Fabricante";"Modelo";"Tecnología";"Fotocélula";"Status"
1221349;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 412;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221350;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 452;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221351;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 452;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221352;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 490;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221353;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 490;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221354;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 506;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221355;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 506;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221356;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 560;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221357;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 560;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221358;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 582;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221359;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 582;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221360;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 608;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221361;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;ANGEL MONASTERIO 608;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1221362;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 644;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221363;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 644;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221364;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 690;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221365;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;ANGEL MONASTERIO 690;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1221366;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 707;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221368;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 707;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221369;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 751;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221370;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 751;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221371;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 791;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221372;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 791;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221373;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 805;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221374;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 805;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221375;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 851;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221376;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 851;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221377;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 895;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221378;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 895;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
