EDIFICIOS MUNICIPALES,LATITUD,LONGITUD,Dirección
Jardín de Infantes N° 4,"-34,550264","-58,505816","Paraguay 159, Villa Martelli"
Jardín de Infantes N° 5,"-34,536066","-58,535471","Rosario y Nicaragua, Munro"
Jardín de Infantes N° 6,"-34,512323","-58,514026","José Ingenieros 3475, Olivos"
Jardín de Infantes N° 7,"-34,525977","-58,547658","Cajaraville 4038, Villa Adelina"
Jardín de Infantes N° 8,"-34,498912","-58,493933","Díaz Vélez 1129, La Lucila"
Jardín de Infantes N° 9,"-34,508486","-58,494282","Juan de Garay 3160, Olivos"
Jardín de Infantes N° 10,-34.507291,"-58,50488","José María Paz 3675, Olivos"
Escuela Manuel Dorrego,"-34,545482","-58,519618","Posadas 1115, Florida Oeste"
Escuela Municipal Paula Albarracín de Sarmiento,"-34,509189","-58,488102","Juan Bautista Alberdi 1227, Olivos"
Centro Educativo de Formación Laboral,"-34,51811","-58,490784","Hilarón de la Quintana 2168, Olivos"
Academia de Policia,"-34,5404","-58,524973","Presidente Hipólito Yrigoyen 4848, Florida Oeste, Buenos Aires"
Higiene Urbana,"-34,5115762","-58,5157294","Uzal 3650, Olivos"
Arbolado Urbano,"-34,5115762","-58,5157294","Uzal 3650, Olivos"
Secretaria de Seguridad,"-34,515392","-58,5177305","Domingo de Acassuso 3702, Olivos"
Defensa Civil,"-34,4999857","-58,4814543","Roma 99, La Lucila"
Comedor Municipal Industrial Munro,"-34,533051","-58,5356375","Mendoza 2563, Munro"
Comedor Municipal Las Flores,"-34,5496247","-58,5241475","Berutti 822, Villa Martelli"
Comedor Municipal Juan Manuel Fangio,"-34,5237304","-58,5279955","Sivori 5050, Munro"
Comedor Municipal,"-34,5079106","-58,4939596","Pelliza 1437, Olivos"
Comedor La Loma,"-34,5157165","-58,5178584","Bellock 3378, Olivos"
Comedor Madre Teresa,"-34,5561979","-58,5209328","Habana 171, Villa Martelli"
Tribunal de Faltas,"-34,5078221","-58,4937822","Pelliza 1401, Olivos"
Accion Social,"-34,5147464","-58,4905899","Maipu 2285, Olivos"
Repositorio municipal Olivos,"-34,5066627","-58,4982193","Acassuso 1752, Olivos"
Repositorio municipal Villa Martelli,"-34,5517183","-58,5197428","Agustin Alvarez 4875, Villa Martelli"
Repositorio municipal Vicente López,"-34,5324144","-58,4785669","Agustin Alvarez 1345, Vicente López"
